city|location|price|bedrooms|baths|size
Lahore|DHA Phase 7, DHA Defence|77900000|5|6|4500
Lahore|Bahria Town - Sector E, Bahria Town|65000000|5|5|2700
Lahore|Park View City - Topaz Block, Park View City|19000000|4|5|1125
Lahore|Park View City - Crystal Block, Park View City|17000000|4|4|1125
Lahore|Park View City - Crystal Block, Park View City|16500000|4|4|1125
Lahore|Bahria Town - Janiper Block, Bahria Town - Sector C|80000000|5|6|4500
Lahore|Bahria Town - Gulbahar Block, Bahria Town - Sector C|51000000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|36800000|5|6|2475
Lahore|DHA Phase 8, DHA Defence|41500000|4|5|2250
Lahore|DHA Phase 6, DHA Defence|46000000|4|5|2250
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|51000000|5|6|2250
Lahore|Bahria Town - Sector C, Bahria Town|36500000|5|6|2475
Lahore|Khayaban-e-Amin, Lahore|16500000|3|5|1125
Lahore|Orchard Greenz, Bedian Road|4500000|3|4|4500
Lahore|Audit & Accounts Phase 1, Audit & Accounts Housing Society|11500000|2|2|675
Lahore|DHA Phase 6 - Block L, DHA Phase 6|81100000|5|6|4500
Lahore|DHA Phase 7, DHA Defence|48500000|4|5|2250
Lahore|DHA 9 Town, DHA Defence|25000000|4|5|1125
Lahore|DHA Phase 6, DHA Defence|200000000|6|6|4500
Lahore|Divine Gardens, Lahore|170000000|10|6|18000
Lahore|Bahria Town - Tipu Sultan Block, Bahria Town - Sector F|7000000|1|1|495
Lahore|Bahria Orchard, Lahore|17000000|3|5|1125
Lahore|DHA Phase 6, DHA Defence|112500000|5|6|4500
Lahore|DHA 11 Rahbar Phase 2 Extension - Block M, DHA 11 Rahbar Phase 2 Extension|18000000|3|4|1125
Lahore|DHA Phase 6 - Block L, DHA Phase 6|79900000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|82500000|5|6|4500
Lahore|Green City - Block C, Green City|24500000|3|4|1125
Lahore|Paragon City - Woods Block, Paragon City|26500000|3|4|1125
Lahore|Green City, Lahore|23000000|3|4|1125
Lahore|Park View City - Topaz Extension Block, Park View City|12000000|4|2|1125
Lahore|Park View City, Lahore|16200000|4|4|1125
Lahore|Bankers Avenue Cooperative Housing Society, Lahore|25000000|5|6|2025
Lahore|Bahria Town - Sector C, Bahria Town|36000000|5|6|2475
Lahore|Bankers Avenue Cooperative Housing Society, Lahore|15000000|4|5|1125
Lahore|DHA 9 Town, DHA Defence|20000000|3|4|1125
Lahore|DHA Phase 7, DHA Defence|69500000|5|6|4500
Lahore|Bahria Town - Sector C, Bahria Town|35800000|5|6|2475
Lahore|DHA Phase 7 - Block R, DHA Phase 7|71500000|5|6|4500
Lahore|Bahria Town - Sector C, Bahria Town|35500000|5|6|2475
